index,slack_ns,requirement_ns,datapath_delay_ns,logic_levels,startpoint_pin,endpoint_pin,path_group
11290,-0.137,5.000,4.912,5,"student_top_inst/mem_bridge/dram_adapter/dram/U0/inst_blk_mem_gen/gnbram.gnativebmg.native_blk_mem_gen/valid.cstr/ramloop[54].ram.r/prim_init.ram/DEVICE_7SERIES.NO_BMM_INFO.SP.SIMPLE_PRIM36.ram/CLKARDCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/resp_data_q_reg[31]/D","setup"
11291,-0.136,5.000,4.967,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[12]_rep__7/D","setup"
11292,-0.136,5.000,4.670,7,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/producer_valid_q_reg[22]/R","setup"
11293,-0.136,5.000,5.081,4,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[op2][3]/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/u_div/U0/i_synth/i_has_input_skid.i_2to1/gen_has_z_tready.reg1_b_tdata_reg[8]/D","setup"
11294,-0.134,5.000,5.112,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[1722]/D","setup"
11295,-0.132,5.000,4.968,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/req_addr_q_reg[27]/D","setup"
11296,-0.131,5.000,4.639,8,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/a_q_reg[31]/CE","setup"
11297,-0.131,5.000,4.639,8,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/b_q_reg[28]/CE","setup"
11298,-0.131,5.000,4.639,8,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_muldiv/b_q_reg[30]/CE","setup"
11299,-0.131,5.000,5.082,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[210]/D","setup"
11300,-0.131,5.000,5.084,9,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_dcache/valid_q_reg[217]/D","setup"
11301,-0.131,5.000,4.717,5,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[uop][pc][3]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/counter_q_reg_0_63_0_0/SP/WE","setup"
11302,-0.131,5.000,4.717,5,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[uop][pc][3]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/counter_q_reg_0_63_1_1/DP/WE","setup"
11303,-0.131,5.000,4.717,5,"student_top_inst/Core_cpu/u_core_top/exec_q_reg[uop][pc][3]/C","student_top_inst/Core_cpu/u_core_top/u_frontend/u_branch_predictor/counter_q_reg_0_63_1_1/SP/WE","setup"
11304,-0.130,5.000,4.961,6,"student_top_inst/Core_cpu/u_core_top/u_dcache/tag_q_reg/CLKBWRCLK","student_top_inst/Core_cpu/u_core_top/u_dcache/lookup_store_data_q_reg[21]/D","setup"
11305,-0.130,5.000,4.693,6,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_perf_counters/commit_o_reg[4]/CE","setup"
11306,-0.130,5.000,4.693,6,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_perf_counters/commit_o_reg[5]/CE","setup"
11307,-0.130,5.000,4.693,6,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_perf_counters/commit_o_reg[6]/CE","setup"
11308,-0.130,5.000,4.693,6,"student_top_inst/Core_cpu/u_core_top/commit_ptr_q_reg[1]_rep__1/C","student_top_inst/Core_cpu/u_core_top/u_perf_counters/commit_o_reg[7]/CE","setup"
